Company,Employees,Revenue (US$)
Walmart,2300000,485873000000
Berkshire Hathaway,367700,223604000000
Apple,116000,215639000000
ExxonMobil,72700,205004000000
McKesson,68000,192487000000
UnitedHealth Group,230000,184840000000
CVS Health,204000,177526000000
General Motors,225000,166380000000
AT&T,268540,163786000000
Ford Motor,201000,151800000000
AmerisourceBergen,18500,146850000000
Amazon.com,341400,135987000000
General Electric,295000,126661000000
Verizon Communications,160900,125980000000
Cardinal Health,37300,121546000000
Costco,172000,118719000000
Walgreens Boots Alliance,300000,117351000000
Kroger,443000,115337000000
Chevron,203263,107567000000
Fannie Mae,7000,107162000000
J.P. Morgan Chase,243355,105486000000
Express Scripts Holding,25600,100288000000
Home Depot,406000,94595000000
Boeing,150540,94571000000
Wells Fargo,269100,94176000000
Bank of America Corp.,208024,93662000000
Alphabet,72053,90272000000
Microsoft,114000,85320000000
Anthem,53000,84863000000
Citigroup,219000,82386000000
Comcast,159000,80403000000
IBM,414400,79919000000
State Farm Insurance Cos.,68234,76132000000
Phillips 66,14800,72396000000
Johnson & Johnson,126400,71890000000
Procter & Gamble,105000,71726000000
Valero Energy,9996,70166000000
Target,323000,69495000000
Freddie Mac,5982,65665000000
Loweâ€™s,240000,65017000000
Dell Technologies,138000,64806000000
MetLife,58000,63476000000
Aetna,49500,63155000000
PepsiCo,264000,62799000000
Archer Daniels Midland,31800,62346000000
UPS,335520,60906000000
Intel,106000,59387000000
Prudential Financial,49739,58779000000
Albertsons Cos.,274000,58734000000
United Technologies,201600,57244000000
Marathon Petroleum,44460,55858000000
Disney,195000,55632000000
Humana,51600,54379000000
Pfizer,96500,52824000000
AIG,56400,52367000000
Lockheed Martin,97000,50658000000
Sysco,51900,50367000000
FedEx,335767,50365000000
Hewlett Packard Enterprise,195000,50123000000
Cisco Systems,73700,49247000000
HP,49000,48238000000
Dow Chemical,56000,48158000000
HCA Holdings,210500,44747000000
Coca-Cola,100300,41863000000
New York Life Insurance,11320,40787000000
Centene,30500,40721000000
American Airlines Group,122300,40180000000
Nationwide,34320,40074000000
Merck,68000,39807000000
Cigna,41000,39668000000
Delta Air Lines,83756,39639000000
Best Buy,125000,39403000000
Honeywell International,131000,39302000000
Caterpillar,95400,38537000000
Liberty Mutual Insurance Group,50000,38308000000
Morgan Stanley,55311,37949000000
Massachusetts Mutual Life Insurance,11737,37788000000
Goldman Sachs Group,34400,37712000000
Energy Transfer Equity,30992,37504000000
TIAA,12997,37105000000
Oracle,136000,37047000000
Tyson Foods,114000,36881000000
United Continental Holdings,88000,36556000000
Allstate,43275,36534000000
Publix Super Markets,191000,34274000000
American Express,56400,33823000000
TJX,235000,33184000000
Nike,70700,32376000000
Exelon,34396,31360000000
General Dynamics,98800,31353000000
Rite Aid,70580,30737000000
Gilead Sciences,9000,30390000000
CHS,12157,30347000000
3M,91584,30109000000
Time Warner,25000,29318000000
Charter Communications,91500,29003000000
Northwestern Mutual,5646,28799000000
Facebook,17048,27638000000
Travelers Cos.,30900,27625000000
Capital One Financial,47300,27519000000
,,
"Source: http://fortune.com/fortune500/list/, accessed 2018-05-13",,
